DATE,DT90,DT90_Miss,DT90_Consec,DX32,DX32_Miss,DX32_Consec,DT32,DT32_Miss,DT32_Consec,DP01,DP01_Miss,DP01_Consec,DP05,DP05_Miss,DP05_Consec,DP10,DP10_Miss,DP10_Consec,EMXP,EMXP_Miss,EMXP_Consec,TPCP,TPCP_Miss,TPCP_Consec,EMXT,EMXT_Miss,EMXT_Consec,EMNT,EMNT_Miss,EMNT_Consec,MMXT,MMXT_Miss,MMXT_Consec,MMNT,MMNT_Miss,MMNT_Consec,MNTM,MNTM_Miss,MNTM_Consec
20140801,-9999,0,0,-9999,0,0,-9999,0,0,9,0,0,4,0,0,0,0,0,0.8,0,0,4.4,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20140901,-9999,0,0,-9999,0,0,-9999,0,0,13,0,0,10,0,0,3,0,0,2.8,0,0,12.3,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20141001,-9999,0,0,-9999,0,0,-9999,0,0,4,0,0,3,0,0,1,0,0,1.1,0,0,2.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20141101,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,2,0,0,2,0,0,1.5,0,0,4.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20141201,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,1,0,0,0,0,0,0.6,0,0,2.5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20150101,-9999,0,0,-9999,0,0,-9999,0,0,6,0,0,1,0,0,1,0,0,2.6,0,0,4,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20150201,-9999,0,0,-9999,0,0,-9999,0,0,4,0,0,3,0,0,2,0,0,1.2,0,0,3.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20150301,-9999,0,0,-9999,0,0,-9999,0,0,4,0,0,1,0,0,0,0,0,0.5,0,0,1.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20150401,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,2,0,0,1,0,0,1.6,0,0,3.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20150501,-9999,0,0,-9999,0,0,-9999,0,0,4,0,0,2,0,0,1,0,0,1,0,0,2.5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20150601,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,3,0,0,1,0,0,2.5,0,0,5.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20150701,-9999,0,0,-9999,0,0,-9999,0,0,15,0,0,9,0,0,5,0,0,2.6,0,0,14.9,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20150801,-9999,0,0,-9999,0,0,-9999,0,0,12,0,0,6,0,0,4,0,0,2.5,0,0,9.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20150901,-9999,0,0,-9999,0,0,-9999,0,0,12,0,0,5,0,0,2,0,0,2.9,0,0,8.5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20151001,-9999,0,0,-9999,0,0,-9999,0,0,1,0,0,0,0,0,0,0,0,0.4,0,0,0.7,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20070901,-9999,0,0,-9999,0,0,-9999,0,0,4,0,0,3,0,0,1,0,0,1,0,0,2.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20071001,-9999,0,0,-9999,0,0,-9999,0,0,11,0,0,3,0,0,2,0,0,5.7,0,0,9.5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20071101,-9999,0,0,-9999,0,0,-9999,0,0,1,0,0,1,0,0,0,0,0,0.6,0,0,0.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20071201,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,0,0,0,0,0,0,0.1,0,0,0.4,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20080101,-9999,0,0,-9999,0,0,-9999,0,0,10,0,0,0,0,0,0,0,0,0.4,0,0,2.5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20080201,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,1,0,0,0,0,0,0.8,0,0,1.4,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20080301,-9999,0,0,-9999,0,0,-9999,0,0,7,0,0,2,0,0,0,0,0,0.9,0,0,2.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20080401,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,1,0,0,1,0,0,2.8,0,0,3.5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20080501,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,2,0,0,1,0,0,1,0,0,1.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20080601,-9999,0,0,-9999,0,0,-9999,0,0,7,0,0,4,0,0,1,0,0,1.9,0,0,5.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20080701,-9999,0,0,-9999,0,0,-9999,0,0,15,0,0,8,0,0,4,0,0,2.1,0,0,11.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20080801,-9999,0,0,-9999,0,0,-9999,0,0,15,0,0,7,0,0,3,0,0,7,0,0,18.3,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20080901,-9999,0,0,-9999,0,0,-9999,0,0,7,0,0,3,0,0,1,0,0,1.2,0,0,3.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20081001,-9999,0,0,-9999,0,0,-9999,0,0,10,0,0,1,0,0,1,0,0,1.6,0,0,4.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20081101,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,1,0,0,0,0,0,0.5,0,0,0.9,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20081201,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,1,0,0,0,0,0,0.6,0,0,1.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20090101,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,2,0,0,0,0,0,0.6,0,0,1.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20090201,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20090301,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,1,0,0,0,0,0,0.6,0,0,0.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20090401,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,0,0,0,0,0,0,0.3,0,0,0.7,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20090501,-9999,0,0,-9999,0,0,-9999,0,0,12,0,0,10,0,0,4,0,0,2.3,0,0,10.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20090601,-9999,0,0,-9999,0,0,-9999,0,0,11,0,0,5,0,0,3,0,0,3.7,0,0,8.9,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20090701,-9999,0,0,-9999,0,0,-9999,0,0,13,0,0,5,0,0,1,0,0,1.2,0,0,6.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20090801,-9999,0,0,-9999,0,0,-9999,0,0,9,0,0,4,0,0,2,0,0,1.1,0,0,5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20090901,-9999,0,0,-9999,0,0,-9999,0,0,10,0,0,2,0,0,1,0,0,1.2,0,0,3.7,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20091001,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,0,0,0,0,0,0,0.2,0,0,0.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20091101,-9999,0,0,-9999,0,0,-9999,0,0,1,0,0,0,0,0,0,0,0,0.3,0,0,0.5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20091201,-9999,0,0,-9999,0,0,-9999,0,0,6,0,0,5,0,0,3,0,0,2.3,0,0,6.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
