Date,Value
1999-03-31,102.6377648694
1999-02-28,105.45232518484
1999-01-31,110.44053229376
1998-12-31,110.63468514188
1998-11-30,112.6376970582
1998-10-31,110.95079991184
1998-09-30,110.04903272288
1998-08-31,109.48149437848
1998-07-31,112.15338740368
1998-06-30,113.73619485372
1998-05-31,118.28477796066
1998-04-30,121.29168343686
1998-03-31,120.63284402906
1998-02-28,123.50938835824
1998-01-31,121.19948074994
1997-12-31,124.01047488184
1997-11-30,125.69626326938
1997-10-31,125.54689455256
1997-09-30,127.920027861
1997-08-31,129.00307390222
1997-07-31,130.7484101409
1997-06-30,135.83088651202
1997-05-31,140.35112778424
1997-04-30,139.88855066172
1997-03-31,140.83079643498
1997-02-28,137.00638834276
1997-01-31,133.9295953559
1996-12-31,129.8830122015
1996-11-30,130.74632603908
1996-10-31,131.18783509906
1996-09-30,135.43525809688
1996-08-31,138.86341874912
1996-07-31,140.06502166758
1996-06-30,142.18121092722
1996-05-31,145.6302231414
1996-04-30,143.69794756306
1996-03-31,137.91900745306
1996-02-29,138.01698006636
1996-01-31,135.50495137008
1995-12-31,135.23566545768
1995-11-30,136.41096246788
1995-10-31,135.50496236098
1995-09-30,133.1929778164
1995-08-31,133.94833953136
1995-07-31,135.97049447792
1995-06-30,133.80865297254
1995-05-31,134.03164117274
1995-04-30,134.00264593836
1995-03-31,134.8857462256
1995-02-28,134.76940619198
1995-01-31,133.19762608816
1994-12-31,132.99108934478
1994-11-30,132.11146133254
1994-10-31,132.19319643042
1994-09-30,136.60604375982
1994-08-31,133.79780641102
1994-07-31,133.22080357226
1994-06-30,128.3128420174
1994-05-31,126.23284068974
1994-04-30,122.62290603698
1994-03-31,122.21014013182
1994-02-28,122.61840131396
1994-01-31,122.30243179878
1993-12-31,122.153167947
1993-11-30,119.95113956572
1993-10-31,117.84027997826
1993-09-30,117.59913778576
1993-08-31,117.79176124856
1993-07-31,118.27351747954
1993-06-30,114.01341566312
1993-05-31,116.13991911928
1993-04-30,112.71032125338
1993-03-31,110.36786396724
1993-02-28,109.02819265202
1993-01-31,108.12296464056
1992-12-31,106.37123558632
1992-11-30,106.18961632492
1992-10-31,105.04859695602
1992-09-30,106.88764085458
1992-08-31,107.72175779292
1992-07-31,108.21183622972
1992-06-30,109.2034945738
1992-05-31,108.76897392492
1992-04-30,108.4253118811
1992-03-31,109.96136230202
1992-02-29,110.12297926626
1992-01-31,110.6133396554
1991-12-31,109.2201122577
1991-11-30,109.37933709778
1991-10-31,110.24557649538
1991-09-30,110.09211317798
1991-08-31,109.14824387692
1991-07-31,107.38128217398
1991-06-30,108.40312853024
1991-05-31,107.65850090524
1991-04-30,109.83665459106
1991-03-31,111.06983407222
1991-02-28,109.90619897782
1991-01-31,108.887150034
1990-12-31,108.21440411432
1990-11-30,107.97195417944
1990-10-31,109.31247242894
1990-09-30,109.35148831056
1990-08-31,109.33622431284
1990-07-31,110.28819046266
1990-06-30,110.34258412192
1990-05-31,112.6762873665
1990-04-30,113.72279884104
1990-03-31,113.08183204502
1990-02-28,112.22183817372
1990-01-31,111.79988578024
1989-12-31,110.7963827138
1989-11-30,111.7963819204
1989-10-31,113.11529352908
1989-09-30,113.10962959698
1989-08-31,112.58409341702
1989-07-31,117.1051879838
1989-06-30,119.5970036551
1989-05-31,119.35497147836
1989-04-30,118.88503544778
1989-03-31,118.99658720758
1989-02-28,115.8556654986
1989-01-31,116.06934833724
1988-12-31,117.26405008402
1988-11-30,115.63249686506
1988-10-31,115.81320272524
1988-09-30,116.40903513352
1988-08-31,115.21404041022
1988-07-31,121.7706961306
1988-06-30,122.41552441192
1988-05-31,111.42446972268
1988-04-30,109.13384161422
1988-03-31,107.79464858724
1988-02-29,108.23022238774
1988-01-31,112.02374419508
1987-12-31,109.98599590948
1987-11-30,108.26709943274
1987-10-31,104.54733474488
1987-09-30,103.36916650004
1987-08-31,97.37549303002
1987-07-31,96.89920821704
1987-06-30,98.2280989727
1987-05-31,99.5032710089
1987-04-30,96.02419722646
1987-03-31,94.10945950416
1987-02-28,94.88798241636
1987-01-31,94.61700750894
1986-12-31,92.24650160574
1986-11-30,93.25005810714
1986-10-31,93.13524762278
1986-09-30,93.17305458324
1986-08-31,90.79470375864
1986-07-31,91.32922495328
1986-06-30,93.65737692998
1986-05-31,98.23061086896
1986-04-30,101.07130491076
1986-03-31,102.94325070746
1986-02-28,102.355720045
1986-01-31,104.51407177356
1985-12-31,101.84736984944
1985-11-30,97.02620393224
1985-10-31,94.43216074276
1985-09-30,94.64208397248
1985-08-31,96.33097626836
1985-07-31,98.1834187418
1985-06-30,101.08060953876
1985-05-31,103.59659270478
1985-04-30,107.09478132572
1985-03-31,106.66999126638
1985-02-28,105.4831053606
1985-01-31,105.98114877102
1984-12-31,106.41605425886
1984-11-30,109.62698983744
1984-10-31,111.86001145238
1984-09-30,114.43304763698
1984-08-31,114.9759938194
1984-07-31,116.75982524288
1984-06-30,126.42428709526
1984-05-31,132.70657849196
1984-04-30,129.44305598958
1984-03-31,128.28315143482
1984-02-29,125.52106890834
1984-01-31,127.3566068885
1983-12-31,124.44607135936
