Date,Value
1988-09-30,2433.9
1988-08-31,2200.21
1988-07-31,2213.44
1988-06-30,2539.72
1988-05-31,2442.72
1988-04-30,2283.99
1988-03-31,2358.94
1988-02-29,2328.08
1988-01-31,2660.98
1987-12-31,2866.01
1987-11-30,2519.88
1987-10-31,1966.52
1987-09-30,1809.99
1987-08-31,1754.88
1987-07-31,1693.15
1987-06-30,1571.89
1987-05-31,1518.98
1987-04-30,1483.71
1987-03-31,1463.87
1987-02-28,1380.09
1987-01-31,1344.82
1986-12-31,1331.59
1986-11-30,1302.93
1986-10-31,1316.16
1986-09-30,1309.54
1986-08-31,1302.93
1986-07-31,1344.82
1986-06-30,1413.16
1986-05-31,1417.57
1986-04-30,1433.0
1986-03-31,1444.03
1986-02-28,1404.34
1986-01-31,1417.57
1985-12-31,1391.12
1985-11-30,1369.07
1985-10-31,1384.5
1985-09-30,1366.86
1985-08-31,1419.78
1985-07-31,1474.89
1985-06-30,1433.0
1985-05-31,1530.01
1985-04-30,1501.35
1985-03-31,1389.35
1985-02-28,1388.91
1985-01-31,1358.05
1984-12-31,1320.57
1984-11-30,1344.82
1984-10-31,1272.07
1984-09-30,1294.11
1984-08-31,1338.2
1984-07-31,1331.59
1984-06-30,1364.66
1984-05-31,1419.78
1984-04-30,1532.21
1984-03-31,1501.35
1984-02-29,1428.59
1984-01-31,1375.68
1983-12-31,1415.37
1983-11-30,1388.91
1983-10-31,1435.21
1983-09-30,1560.87
1983-08-31,1640.24
1983-07-31,1704.17
1983-06-30,1701.97
1983-05-31,1765.9
1983-04-30,1675.51
1983-03-31,1598.35
1983-02-28,1649.06
1983-01-31,1574.1
1982-12-31,1474.89
1982-11-30,1444.03
1982-10-31,1463.87
1982-09-30,1424.18
1982-08-31,1450.64
1982-07-31,1439.62
1982-06-30,1309.54
1982-05-31,1530.01
1982-04-30,1521.19
1982-03-31,1512.37
1982-02-28,1596.14
1982-01-31,1613.78
1981-12-31,1655.67
1981-11-30,1651.26
1981-10-31,1664.49
1981-09-30,1706.38
1981-08-31,1787.95
1981-07-31,1682.12
1981-06-30,1699.76
1981-05-31,1746.06
1981-04-30,1823.22
1981-03-31,1816.61
1981-02-28,1803.38
1981-01-31,1876.13
1980-12-31,1878.34
1980-11-30,2010.61
