Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,086071,1874,09,15.1,Y
IDCJAC0002,086071,1874,10,21.7,Y
IDCJAC0002,086071,1874,11,22.0,Y
IDCJAC0002,086071,1874,12,24.1,Y
IDCJAC0002,086071,1875,01,26.9,Y
IDCJAC0002,086071,1875,02,24.9,Y
IDCJAC0002,086071,1875,03,24.2,Y
IDCJAC0002,086071,1875,04,20.1,Y
IDCJAC0002,086071,1875,05,16.0,Y
IDCJAC0002,086071,1875,06,14.4,Y
IDCJAC0002,086071,1875,07,13.5,Y
IDCJAC0002,086071,1875,08,15.0,Y
IDCJAC0002,086071,1875,09,16.6,Y
IDCJAC0002,086071,1875,10,19.0,Y
IDCJAC0002,086071,1875,11,20.2,Y
IDCJAC0002,086071,1875,12,22.4,Y
IDCJAC0002,086071,1876,01,25.7,Y
IDCJAC0002,086071,1876,02,26.1,Y
IDCJAC0002,086071,1876,03,24.5,Y
IDCJAC0002,086071,1876,04,20.0,Y
IDCJAC0002,086071,1876,05,16.7,Y
IDCJAC0002,086071,1876,06,13.4,Y
IDCJAC0002,086071,1876,07,13.2,Y
IDCJAC0002,086071,1876,08,15.0,Y
IDCJAC0002,086071,1876,09,17.3,Y
IDCJAC0002,086071,1876,10,19.9,Y
IDCJAC0002,086071,1876,11,21.2,Y
IDCJAC0002,086071,1876,12,25.1,Y
IDCJAC0002,086071,1877,01,23.8,Y
IDCJAC0002,086071,1877,02,25.9,Y
IDCJAC0002,086071,1877,03,23.8,Y
IDCJAC0002,086071,1877,04,20.9,Y
IDCJAC0002,086071,1877,05,16.2,Y
IDCJAC0002,086071,1877,06,14.1,Y
IDCJAC0002,086071,1877,07,14.5,Y
IDCJAC0002,086071,1877,08,16.2,Y
IDCJAC0002,086071,1877,09,16.6,Y
IDCJAC0002,086071,1877,10,19.2,Y
IDCJAC0002,086071,1877,11,20.7,Y
IDCJAC0002,086071,1877,12,24.1,Y
IDCJAC0002,086071,1878,01,25.7,Y
IDCJAC0002,086071,1878,02,24.2,Y
IDCJAC0002,086071,1878,03,23.7,Y
IDCJAC0002,086071,1878,04,20.8,Y
IDCJAC0002,086071,1878,05,16.8,Y
IDCJAC0002,086071,1878,06,11.6,Y
IDCJAC0002,086071,1878,07,13.2,Y
IDCJAC0002,086071,1878,08,15.3,Y
IDCJAC0002,086071,1878,09,18.1,Y
IDCJAC0002,086071,1878,10,19.9,Y
IDCJAC0002,086071,1878,11,22.0,Y
IDCJAC0002,086071,1878,12,24.3,Y
IDCJAC0002,086071,1879,01,25.3,Y
IDCJAC0002,086071,1879,02,25.9,Y
IDCJAC0002,086071,1879,03,24.1,Y
IDCJAC0002,086071,1879,04,21.9,Y
IDCJAC0002,086071,1879,05,15.3,Y
IDCJAC0002,086071,1879,06,12.6,Y
IDCJAC0002,086071,1879,07,12.2,Y
IDCJAC0002,086071,1879,08,15.1,Y
IDCJAC0002,086071,1879,09,16.1,Y
IDCJAC0002,086071,1879,10,18.8,Y
IDCJAC0002,086071,1879,11,19.9,Y
IDCJAC0002,086071,1879,12,22.9,Y
IDCJAC0002,086071,1880,01,25.2,Y
IDCJAC0002,086071,1880,02,27.4,Y
IDCJAC0002,086071,1880,03,23.7,Y
IDCJAC0002,086071,1880,04,19.7,Y
IDCJAC0002,086071,1880,05,15.4,Y
IDCJAC0002,086071,1880,06,13.5,Y
IDCJAC0002,086071,1880,07,13.1,Y
IDCJAC0002,086071,1880,08,16.4,Y
IDCJAC0002,086071,1880,09,16.7,Y
IDCJAC0002,086071,1880,10,17.8,Y
IDCJAC0002,086071,1880,11,21.0,Y
IDCJAC0002,086071,1880,12,23.3,Y
IDCJAC0002,086071,1881,01,26.2,Y
IDCJAC0002,086071,1881,02,25.1,Y
IDCJAC0002,086071,1881,03,23.6,Y
IDCJAC0002,086071,1881,04,20.7,Y
IDCJAC0002,086071,1881,05,17.8,Y
IDCJAC0002,086071,1881,06,13.0,Y
IDCJAC0002,086071,1881,07,13.6,Y
IDCJAC0002,086071,1881,08,15.2,Y
IDCJAC0002,086071,1881,09,17.6,Y
IDCJAC0002,086071,1881,10,18.5,Y
IDCJAC0002,086071,1881,11,20.5,Y
IDCJAC0002,086071,1881,12,22.5,Y
IDCJAC0002,086071,1882,01,25.9,Y
IDCJAC0002,086071,1882,02,26.2,Y
IDCJAC0002,086071,1882,03,25.5,Y
IDCJAC0002,086071,1882,04,19.4,Y
IDCJAC0002,086071,1882,05,17.0,Y
IDCJAC0002,086071,1882,06,13.2,Y
IDCJAC0002,086071,1882,07,12.6,Y
IDCJAC0002,086071,1882,08,14.3,Y
IDCJAC0002,086071,1882,09,17.4,Y
IDCJAC0002,086071,1882,10,20.8,Y
IDCJAC0002,086071,1882,11,22.3,Y
IDCJAC0002,086071,1882,12,24.0,Y
IDCJAC0002,086071,1883,01,26.4,Y
IDCJAC0002,086071,1883,02,25.7,Y
IDCJAC0002,086071,1883,03,24.5,Y
IDCJAC0002,086071,1883,04,21.9,Y
IDCJAC0002,086071,1883,05,16.2,Y
IDCJAC0002,086071,1883,06,15.6,Y
IDCJAC0002,086071,1883,07,12.8,Y
IDCJAC0002,086071,1883,08,15.1,Y
IDCJAC0002,086071,1883,09,16.6,Y
IDCJAC0002,086071,1883,10,19.3,Y
IDCJAC0002,086071,1883,11,22.7,Y
IDCJAC0002,086071,1883,12,23.7,Y
IDCJAC0002,086071,1884,01,23.3,Y
IDCJAC0002,086071,1884,02,23.5,Y
IDCJAC0002,086071,1884,03,23.6,Y
IDCJAC0002,086071,1884,04,20.9,Y
IDCJAC0002,086071,1884,05,16.7,Y
IDCJAC0002,086071,1884,06,14.6,Y
IDCJAC0002,086071,1884,07,12.8,Y
IDCJAC0002,086071,1884,08,16.4,Y
IDCJAC0002,086071,1884,09,18.0,Y
IDCJAC0002,086071,1884,10,18.4,Y
IDCJAC0002,086071,1884,11,21.1,Y
IDCJAC0002,086071,1884,12,22.5,Y
IDCJAC0002,086071,1885,01,24.8,Y
IDCJAC0002,086071,1885,02,24.9,Y
IDCJAC0002,086071,1885,03,22.6,Y
IDCJAC0002,086071,1885,04,19.1,Y
IDCJAC0002,086071,1885,05,16.5,Y
IDCJAC0002,086071,1885,06,12.1,Y
IDCJAC0002,086071,1885,07,12.0,Y
