Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,086071,1886,09,33.1,Y
IDCJAC0001,086071,1886,10,72.1,Y
IDCJAC0001,086071,1886,11,67.8,Y
IDCJAC0001,086071,1886,12,89.8,Y
IDCJAC0001,086071,1887,01,28.3,Y
IDCJAC0001,086071,1887,02,67.2,Y
IDCJAC0001,086071,1887,03,20.7,Y
IDCJAC0001,086071,1887,04,123.5,Y
IDCJAC0001,086071,1887,05,50.5,Y
IDCJAC0001,086071,1887,06,77.4,Y
IDCJAC0001,086071,1887,07,66.4,Y
IDCJAC0001,086071,1887,08,26.3,Y
IDCJAC0001,086071,1887,09,68.8,Y
IDCJAC0001,086071,1887,10,72.0,Y
IDCJAC0001,086071,1887,11,84.2,Y
IDCJAC0001,086071,1887,12,139.1,Y
IDCJAC0001,086071,1888,01,65.7,Y
IDCJAC0001,086071,1888,02,10.8,Y
IDCJAC0001,086071,1888,03,54.8,Y
IDCJAC0001,086071,1888,04,21.2,Y
IDCJAC0001,086071,1888,05,95.7,Y
IDCJAC0001,086071,1888,06,30.4,Y
IDCJAC0001,086071,1888,07,38.5,Y
IDCJAC0001,086071,1888,08,23.3,Y
IDCJAC0001,086071,1888,09,34.5,Y
IDCJAC0001,086071,1888,10,34.5,Y
IDCJAC0001,086071,1888,11,15.9,Y
IDCJAC0001,086071,1888,12,43.2,Y
IDCJAC0001,086071,1889,01,133.5,Y
IDCJAC0001,086071,1889,02,38.2,Y
IDCJAC0001,086071,1889,03,6.1,Y
IDCJAC0001,086071,1889,04,91.6,Y
IDCJAC0001,086071,1889,05,23.8,Y
IDCJAC0001,086071,1889,06,70.3,Y
IDCJAC0001,086071,1889,07,38.8,Y
IDCJAC0001,086071,1889,08,54.2,Y
IDCJAC0001,086071,1889,09,39.4,Y
IDCJAC0001,086071,1889,10,73.8,Y
IDCJAC0001,086071,1889,11,108.1,Y
IDCJAC0001,086071,1889,12,39.3,Y
IDCJAC0001,086071,1890,01,34.9,Y
IDCJAC0001,086071,1890,02,14.3,Y
IDCJAC0001,086071,1890,03,37.9,Y
IDCJAC0001,086071,1890,04,49.6,Y
IDCJAC0001,086071,1890,05,59.8,Y
IDCJAC0001,086071,1890,06,43.7,Y
IDCJAC0001,086071,1890,07,68.0,Y
IDCJAC0001,086071,1890,08,38.1,Y
IDCJAC0001,086071,1890,09,53.1,Y
IDCJAC0001,086071,1890,10,58.2,Y
IDCJAC0001,086071,1890,11,123.5,Y
IDCJAC0001,086071,1890,12,36.0,Y
IDCJAC0001,086071,1891,01,30.9,Y
IDCJAC0001,086071,1891,02,9.4,Y
IDCJAC0001,086071,1891,03,32.0,Y
IDCJAC0001,086071,1891,04,61.3,Y
IDCJAC0001,086071,1891,05,56.9,Y
IDCJAC0001,086071,1891,06,64.9,Y
IDCJAC0001,086071,1891,07,178.4,Y
IDCJAC0001,086071,1891,08,37.1,Y
IDCJAC0001,086071,1891,09,29.0,Y
IDCJAC0001,086071,1891,10,73.7,Y
IDCJAC0001,086071,1891,11,53.8,Y
IDCJAC0001,086071,1891,12,52.3,Y
IDCJAC0001,086071,1892,01,22.0,Y
IDCJAC0001,086071,1892,02,14.7,Y
IDCJAC0001,086071,1892,03,40.2,Y
IDCJAC0001,086071,1892,04,132.8,Y
IDCJAC0001,086071,1892,05,50.6,Y
IDCJAC0001,086071,1892,06,33.1,Y
IDCJAC0001,086071,1892,07,36.9,Y
IDCJAC0001,086071,1892,08,52.5,Y
IDCJAC0001,086071,1892,09,58.6,Y
IDCJAC0001,086071,1892,10,88.0,Y
IDCJAC0001,086071,1892,11,63.6,Y
IDCJAC0001,086071,1892,12,42.7,Y
IDCJAC0001,086071,1893,01,4.9,Y
IDCJAC0001,086071,1893,02,6.4,Y
IDCJAC0001,086071,1893,03,36.9,Y
IDCJAC0001,086071,1893,04,52.9,Y
IDCJAC0001,086071,1893,05,94.5,Y
IDCJAC0001,086071,1893,06,88.9,Y
IDCJAC0001,086071,1893,07,59.3,Y
IDCJAC0001,086071,1893,08,43.7,Y
IDCJAC0001,086071,1893,09,82.2,Y
IDCJAC0001,086071,1893,10,88.1,Y
IDCJAC0001,086071,1893,11,60.4,Y
IDCJAC0001,086071,1893,12,64.8,Y
IDCJAC0001,086071,1894,01,12.0,Y
IDCJAC0001,086071,1894,02,5.3,Y
IDCJAC0001,086071,1894,03,27.0,Y
IDCJAC0001,086071,1894,04,72.4,Y
IDCJAC0001,086071,1894,05,40.8,Y
IDCJAC0001,086071,1894,06,56.3,Y
IDCJAC0001,086071,1894,07,57.0,Y
IDCJAC0001,086071,1894,08,49.9,Y
IDCJAC0001,086071,1894,09,68.5,Y
IDCJAC0001,086071,1894,10,97.0,Y
IDCJAC0001,086071,1894,11,20.6,Y
IDCJAC0001,086071,1894,12,69.1,Y
IDCJAC0001,086071,1895,01,46.2,Y
IDCJAC0001,086071,1895,02,18.9,Y
IDCJAC0001,086071,1895,03,45.8,Y
IDCJAC0001,086071,1895,04,39.4,Y
IDCJAC0001,086071,1895,05,23.9,Y
IDCJAC0001,086071,1895,06,38.7,Y
IDCJAC0001,086071,1895,07,52.0,Y
IDCJAC0001,086071,1895,08,46.2,Y
IDCJAC0001,086071,1895,09,47.3,Y
IDCJAC0001,086071,1895,10,14.5,Y
IDCJAC0001,086071,1895,11,6.5,Y
IDCJAC0001,086071,1895,12,55.4,Y
IDCJAC0001,086071,1896,01,66.5,Y
IDCJAC0001,086071,1896,02,78.3,Y
IDCJAC0001,086071,1896,03,49.8,Y
IDCJAC0001,086071,1896,04,69.0,Y
